Game,Date,Opponent,Projection,Reception,WalkOff,Nodal,Echo,Collapse
37,2025-05-10,ARI,6,2,No,No,No,No
38,2025-05-11,ARI,5,6,No,No,No,No
39,2025-05-12,ARI,4,6,No,No,No,No
40,2025-05-13,ARI,7,1,No,No,No,No
41,2025-05-14,SDP,3,5,No,No,No,No
42,2025-05-15,SDP,6,6,No,Yes,Yes,No
43,2025-05-16,SDP,2,1,No,No,No,No
44,2025-05-17,SDP,5,5,No,Yes,Yes,No
45,2025-05-18,SDP,8,4,No,No,No,No
46,2025-05-20,ARI,1,3,No,No,No,Yes
47,2025-05-21,ARI,6,2,No,No,No,No
48,2025-05-22,ARI,7,1,No,No,No,No
49,2025-05-23,SF,0,2,No,No,No,No
50,2025-05-24,SF,3,3,No,Yes,Yes,No
51,2025-05-25,SF,4,5,No,No,No,No
52,2025-05-27,COL,5,4,No,No,No,No
53,2025-05-28,COL,3,6,No,No,No,No
54,2025-05-29,COL,6,5,No,No,No,No
