Game,Date,Opponent,Projection,Reception,WalkOff,Nodal,Echo,Collapse
1,2025-03-18,CHC,4,1,No,No,No,No
2,2025-03-19,CHC,6,3,No,No,No,No
3,2025-03-27,DET,5,4,No,No,No,No
4,2025-03-28,DET,8,5,No,No,No,No
5,2025-03-29,DET,7,3,No,No,No,No
6,2025-03-31,ATL,6,1,No,No,No,No
7,2025-04-01,ATL,3,1,No,No,No,No
8,2025-04-02,ATL,6,5,No,No,No,No
9,2025-04-03,PHI,9,11,Yes,No,No,Yes
10,2025-04-04,PHI,4,5,No,No,No,No
11,2025-04-05,PHI,3,2,No,No,No,No
12,2025-04-06,WSH,5,7,No,No,No,No
13,2025-04-07,WSH,6,5,No,No,No,No
14,2025-04-08,WSH,13,7,No,No,No,No
15,2025-04-11,CHC,3,0,No,No,No,No
16,2025-04-12,CHC,0,16,No,No,No,Yes
17,2025-04-13,CHC,2,4,No,No,No,No
18,2025-04-14,COL,4,1,No,No,No,No
